image_name,date,street,block,parcel,text_en,text_es,ad_product,ad_company,business_name,establishment_kind,open_space_kind,street_art,notes,notes2
street_views_000354,2017-06-01,"W Slauson Ave, South",2500,56209,"freds downhome burger, reshape our communities, ","ejercite sus opciones, clase de ejercicios gratis, parque ",,,freds downhome burger,restaurant,parking lot,,,
street_views_000355,2017-06-01,"W Slauson Ave, North",2500,56219,"moh tobacco shop and minimart, ymi wanna betta butt, ",,ymi jeans,,moh tobacco shop and mini mart,smoke shop,,handpainted,,
street_views_000356,2017-06-01,"W Slauson Ave, North",2500,56219,"fourth, marathon og, open, detour, los rogers plumbing and heating sales and repair, plumbing service and repair, copper repiping, water and gas leaks, electronic leak, water heaters, floor heater, farnce and fixtures, toilet and sinks, video camera inspection, sofia beauty salon and barber shop, ",,,,"sofia beauty salon and barber shop, los rogers plumbing and heating and sales and repair, fourth marathon og, ","dispensary, beauty salon, barber shop, home improvement, ",,handpainted signs,,
street_views_000357,2017-06-01,"W Slauson Ave, North",2500,56219,"i do hair, fitness center, alondras dance studio, aerobics, cardio, step, 4lics, kick boxing, zumba fitness",,,,"i do hair, alondras dance stuio","fitness studio, hair salon",parking lot,,,
street_views_000358,2017-06-01,"W Slauson Ave, South",2500,56209,"mamas chicken, chicken, beef, turkey, sausage, radiator, heater, water pump, tune up, computerized diagnostic analyzer, fuel injector tune up, slauson auto tech",,,,slauson auto tech,automotive services,parking lot,,,
street_views_000359,2017-06-01,"W Slauson Ave, North",2400,56219,"auto electric, starters, batteries, with exchange",,,,auto electric,automotive services,,handpainted signs,,
street_views_000360,2017-06-01,"W Slauson Ave, South",2400,56211,"find your courage in their stories, profiles of hope","iglesia evangelica apostoles y profetas, fundamento eterno efesios",profiles of hope la,,,"church, commercial ",parking lot,,,
street_views_000361,2017-06-01,"W Slauson Ave, North",2400,56221,"is the hardest part of your job filling jobs, find new talent solutions at grads of life, louis niez plumbing service",,grads of life,,louis niez plumbing service,plumber,,,,
street_views_000362,2017-06-01,"W Slauson Ave, North",2400,56221,island sams restaurant,,,,island sams restaurant,restaurant,parking lot,,,
street_views_000363,2017-06-01,"W Slauson Ave, South",2400,56211,"the anointed word of god ministries, hebrew class, tuesday torah, for our best rate guaranteed visit hertz",,hertz,,the anionted word of god ministries,synagouge,,,,
street_views_000364,2017-06-01,"W Slauson Ave, North",2400,56225,"the ed sperience, a child developement center, now enrolling, open enrollment occuring now, field studies, science, math, uniforms, reading, music, learning through the experience",,,,the ed sperience,pre school,,,,
street_views_000365,2017-06-01,"W Slauson Ave, South",2300,56213,wee folks christian pre school,,,,wee folks christian pre school,pre school,,,,
street_views_000366,2017-06-01,"W Slauson Ave, North",2300,21396,"double dutch program, ",,,,van ness park,park,park,,,
street_views_000367,2017-06-01,"W Slauson Ave, South",2300,56213,"we sell tobacco, a re/max agent closes a deal every 30 seconds",,re/max,,super cool latino mini mart,"mini market, commercial",,,,
street_views_000368,2017-06-01,"W Slauson Ave, South",2200,56215,"jack in the box, ",,,,jack in the box,fast food,parking lot,mural,,
street_views_000369,2017-06-01,"W Slauson Ave, North",2200,56215,,,,,,residential,,,,
street_views_000370,2017-06-01,"W Slauson Ave, North",2200,,,,,,,,,,,
street_views_000371,2017-06-01,"W Slauson Ave, South",2100,15799,"minas cleaners, alterations, pepper jamaican beliezean cuisine, hair salon",,,,"minas cleaners, peppers jamaican belizean cuisine, hair salon","hair salon, cleaners, restaurant",parking lot,mural,,
street_viewS_000372,2017-06-01,"W Slauson Ave, South",2100,15799,"jesus saves, holiness or hell, refinishing upholstery, ",,,,holy apostolic pentecostal,church,parking lot,handpainted signs,,
